StationNumber,Station name
10287720,GLACIER C BL TIOGA LK NR LEE VINING CA
10287762,POOLE PP CONDUIT INTAKE NR LEE VINING CA
10287770,LEE VINING C BL RHINEDOLLAR DAM NR LEE VINING CA
10289000,"VIRGINIA CK NR BRIDGEPORT, CA"
10289500,"GREEN CK NR BRIDGEPORT, CA"
10290500,"ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT, CA"
10291500,"BUCKEYE CK NR BRIDGEPORT, CA"
10293000,"E WALKER RV NR BRIDGEPORT, CA"
10296000,"W WALKER RV BLW L WALKER RV NR COLEVILLE, CA"
10296500,"W WALKER RV NR COLEVILLE, CA"
10296750,"TOPAZ CANAL BLW DIV W WALKER RVR NR TOPAZ, CA"
10308200,E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE
10308783,LEVIATHAN C AB MINE NR MARKLEEVILLE CA
103087835,UNNAMED TRIB 1 TO LEVIATHAN C AT LEVIATHAN MINE CA
10308784,LEVIATHAN MINE ADIT DRAIN NR MARKLEEVILLE CA
10308785,LEVIATHAN MINE PIT FLOW NR MARKLEEVILLE CA
103087855,LEVIATHAN MINE PIT JUNCTION BOX NR MARKLEEVILLE CA
103087865,UNNAMED TRIB 2 TO LEVIATHAN C AT LEVIATHAN MINE CA
103087889,4L C NR MARKLEEVILLE CA
10308789,LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA
103087891,ASPEN C ABV LEVIATHAN MINE NR MARKLEEVILLE CA
10308792,LEVIATHAN C AB MOUNTAINEER C NR MARKLEEVILLE CA
10308794,BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA
10310000,"W FK CARSON RV AT WOODFORDS, CA"
103366092,"UPPER TRUCKEE RV AT HWY 50 ABV MEYERS, CA"
10336610,"UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA"
10336645,GENERAL C NR MEEKS BAY CA
10336660,BLACKWOOD C NR TAHOE CITY CA
10336674,WARD C BL CONFLUENCE NR TAHOE CITY CA
10336676,WARD C AT HWY 89 NR TAHOE PINES CA
10336780,"TROUT CK NR TAHOE VALLEY, CA"
10337500,TRUCKEE R A TAHOE CITY CA
10338000,TRUCKEE R NR TRUCKEE CA
10338500,DONNER C A DONNER LK NR TRUCKEE CA
10338700,DONNER C AT HWY 89 NR TRUCKEE CA
10339410,TRUCKEE R BL MARTIS C NR TRUCKEE CA
10340500,PROSSER C BL PROSSER C DAM NR TRUCKEE CA
10343000,INDEPENDENCE C NR TRUCKEE CA
10343500,SAGEHEN C NR TRUCKEE CA
10344400,LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA
10344500,LITTLE TRUCKEE R BL BOCA DAM NR TRUCKEE CA
10344505,TRUCKEE R A BOCA BRIDGE NR TRUCKEE CA
10346000,TRUCKEE R A FARAD CA
11012500,CAMPO C NR CAMPO CA
11014000,JAMUL C NR JAMUL CA
11015000,SWEETWATER R NR DESCANSO CA
11016200,SWEETWATER R A DEHESA CA
11022200,LOS COCHES C NR LAKESIDE CA
11022480,SAN DIEGO R A MAST RD NR SANTEE CA
11022830,ALVARADO C NR LA MESA CA
11023000,SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA
11023100,TECOLOTE C AB FOOTBRIDGE NR SAN DIEGO CA
11023340,LOS PENASQUITOS C NR POWAY CA
11025500,SANTA YSABEL C NR RAMONA CA
11027000,GUEJITO C NR SAN PASQUAL CA
11028500,SANTA MARIA C NR RAMONA CA
11042000,SAN LUIS REY R A OCEANSIDE CA
11042400,TEMECULA C NR AGUANGA CA
11042631,PECHANGA C NR TEMECULA CA
11042700,MURRIETA C NR MURRIETA CA
11042800,WARM SPRINGS C NR MURRIETA CA
11042900,SANTA GERTRUDIS C NR TEMECULA CA
11043000,MURRIETA C A TEMECULA CA
11044000,SANTA MARGARITA R NR TEMECULA CA
11044250,RAINBOW C NR FALLBROOK CA
11044300,SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA
11044350,SANDIA C NR FALLBROOK CA
